project,neighborhood,status,sold_out,str_allowed,str_detail,price_from,bedrooms,commission,delivery,delivery_year,architect,lead_developer,url_slug,developer_page_slug
Midtown Park Residences,Midtown Miami,In Contract,No,Unknown,,,Studio to 3 Bedrooms (Up to 5BR + Den PH Available),0.06,2028,2028,Arquitectonica,Rosso Development,preconstruction-midtown-miami-midtown-park-residences,developers-rosso-development
Millux Place Residences at Brickell,Brickell,Under Construction,No,Yes,Yes/Building Prog.,,Studio to 3 Bedrooms,0.06,Q4 2027,2027,Kobi Karp Architecture & Interior Design,Habitat Group,preconstruction-brickell-millux-place-residences-at-brickell,developers-habitat-group
Nexo Residences North Miami Beach,North Miami Beach,Topped Off,No,Yes,Yes/Airbnb,,Studio to 3 Bedrooms (3-4BR Townhomes Available),,2026,2026,Carlos Ott Architects,Blue Road,preconstruction-north-miami-beach-nexo-residences-north-miami-beach,developers-blue-road
NoBe Parc,Miami Beach,In Contract,No,Yes,Yes/Airbnb & Building Prog.,,Studio to 2 Bedrooms,0.06,Q1 2029,2029,Arquitectonica,Robert Finvarb Companies,preconstruction-miami-beach-nobe-parc,developers-robert-finvarb-companies
NoMad Wynwood,Wynwood,New Construction,No,Yes,Yes,,Studio to 2 Bedrooms,,,,Arquitectonica,Related Group,preconstruction-wynwood-nomad-wynwood,developers-related-group
Ocean House Surfside,Surfside,Under Construction,No,No,No,,2 to 5 Bedrooms,0.05,Q3 2027,2027,Arquitectonica,Multiplan Real Estate Asset Management,preconstruction-surfside-ocean-house-surfside,developers-multiplan-real-estate-asset-management
Ocean Terrace Residences,Miami Beach,In Contract,No,Yes,Yes/Hotel Prog.,,3 to 4 Bedrooms,,2029,2029,Robert A.M. Stern Architects,Witkoff,preconstruction-miami-beach-ocean-terrace-residences,developers-witkoff
Okan Tower,Downtown Miami,Under Construction,No,Varies,Varies,,Studio to 3 Bedrooms + Den,0.06,2027,2027,Behar Font & Partners,Okan Group,preconstruction-downtown-miami-okan-tower,developers-okan-group
One Park Tower,North Miami,Topped Off,No,No,No,,1 to 3 Bedrooms,0.07,Q3 2026,2026,Arquitectonica,Turnberry Associates,preconstruction-north-miami-one-park-tower,developers-turnberry-associates
One Twenty Brickell Residences,Brickell,Under Construction,Yes,Yes,Yes/Airbnb,,Studio to 3 Bedrooms,0.065,Q1 2028,2028,Sieger Suarez Architects,Property Markets Group,preconstruction-brickell-one-twenty-brickell-residences,developers-property-markets-group
One Twenty Brickell Signature Residences,Brickell,In Contract,No,Yes,Yes/Airbnb,,Studio to 3 Bedrooms,0.07,Q2 2028,2028,Sieger Suarez Architects,Property Markets Group,preconstruction-brickell-one-twenty-brickell-signature-residences,developers-property-markets-group
One West Twelve Residences,Overtown,Under Construction,No,Yes,Yes,,Studio to 1 Bedroom (Standard); 1 to 3BR (Townhomes),,Q3 2028,2028,CUBE 3,Property Markets Group,preconstruction-overtown-one-west-twelve-residences,developers-property-markets-group
OPUS Coconut Grove,Coconut Grove,Under Construction,No,No,No,,3 to 4 Bedrooms,,Q1 2028,2028,Kobi Karp Architecture & Interior Design,META Development,preconstruction-coconut-grove-opus-coconut-grove,developers-meta-development
ORA by Casa Tua,Brickell,In Contract,No,Yes,Yes/Building Prog.,,Studio to 4 Bedrooms,0.06,Q4 2030,2030,Arquitectonica,Fortune International Group,preconstruction-brickell-ora-by-casa-tua,developers-fortune-international-group
Origin Residences,Bay Harbor Islands,Topped Off,No,Unknown,,,2 to 4 Bedrooms + Den,0.06,Q1 2027,2027,Revuelta Architecture International,VDA Origin,preconstruction-bay-harbor-islands-origin-residences,developers-vda-origin
Pagani Residences Miami,North Bay Village,Under Construction,No,No,No,,2 to 4 Bedrooms,0.05,2028,2028,Revuelta Architecture International,Riviera Horizons,preconstruction-north-bay-village-pagani-residences-miami,developers-riviera-horizons
Palm Tree Residences Miami,Park West,In Contract,No,Yes,Yes/Airbnb,,Junior Suites to 3 Bedrooms,0.06,Q1 2030,2030,Kobi Karp Architecture & Interior Design,Property Markets Group,preconstruction-park-west-palm-tree-residences-miami,developers-property-markets-group
Palma Miami Beach Residences,Miami Beach,Under Construction,No,Yes,Yes,,1 to 2 Bedrooms,0.06,Q4 2027,2027,Built Form,Lefferts,preconstruction-miami-beach-palma-miami-beach-residences,developers-lefferts
Parkside Residences at Brickell,Brickell,Under Construction,No,Yes,Yes/Building Prog.,,Studio to 2 Bedrooms,0.06,Q1 2027,2027,Kobi Karp Architecture & Interior Design,BI Group,preconstruction-brickell-parkside-residences-at-brickell,developers-bi-group
Ponce Park Coral Gables,Coral Gables,Under Construction,No,No,No,,2 to 5 Bedrooms,0.05,Q2 2028,2028,Zyscovich Architects,Allen Morris Company,preconstruction-coral-gables-ponce-park-coral-gables,developers-allen-morris-company
Rivage Bal Harbour,Bal Harbour,Under Construction,No,No,No,,3 to 6 Bedrooms,,Q4 2027,2027,"Skidmore, Owings & Merrill",Related Group,preconstruction-bal-harbour-rivage-bal-harbour,developers-related-group
River District 14,Health District,Topped Off,No,Yes,Yes/Airbnb,,Studio to 2 Bedrooms,,Q4 2026,2026,Behar Font & Partners,ALTA Development,preconstruction-health-district-river-district-14,developers-alta-development
