name,role,company,title,current_projects,past_projects,website_linkedin,profile_depth,url_slug
Rebecca Parekh,,,,,,,Name only,people-rebecca-parekh
Rem Koolhaas,Architect,Office for Metropolitan Architecture,,,,,Role+company,people-rem-koolhaas
Rene Gonzalez,Architect,Rene Gonzalez Architect,,,,,Role+company,people-rene-gonzalez
Rhett Roy,Landscape Architect,Rhett Roy Landscape Architecture,,,,,Role+company,people-rhett-roy
Ricardo Dunin,,,,,,,Name only,people-ricardo-dunin
Riccardo Olivieri,,,,,,,Name only,people-riccardo-olivieri
Richard LeFrak,,,,,,,Name only,people-richard-lefrak
Richard Meier,Architect,Meier Architects,,,,,Role+company,people-richard-meier
Robert A.M. Stern,Architect,Robert A.M. Stern Architects,,,,,Role+company,people-robert-a-m-stern
Roberto Cibeira Moreiras,,,,,,,Name only,people-roberto-cibeira-moreiras
Rodolfo Miani,,,,,,,Name only,people-rodolfo-miani
Ruby Ramirez,,,,,,,Name only,people-ruby-ramirez
Russell Galbut,Developer,Crescent Heights,,,,,Role+company,people-russell-galbut
Ryan Serhant,Broker,Serhant.,,,,,Role+company,people-ryan-serhant
Ryan Shear,Developer,Property Markets Group,,,,,Role+company,people-ryan-shear
Sam Nazarian,,,,,,,Name only,people-sam-nazarian
Sam Robin,,,,,,,Name only,people-sam-robin
Sarrah Hallock,,,,,,,Name only,people-sarrah-hallock
Shahab S. Karmely,,,,,,,Name only,people-shahab-s-karmely
Shohei Shigematsu,Architect,Office for Metropolitan Architecture,,,,,Role+company,people-shohei-shigematsu
Stephane L'Ecuyer,,,,,,,Name only,people-stephane-l-ecuyer
Steve Witkoff,Developer,Witkoff,,,,,Role+company,people-steve-witkoff
Steven Gurowitz,Interior Designer,Interiors by Steven G,,,,,Role+company,people-steven-gurowitz
Teddy Sagi,Developer,Kadima,,,,,Role+company,people-teddy-sagi
Thom Filicia,Interior Designer,"Thom Filicia, Inc.",,,,,Role+company,people-thom-filicia
Tristan Auer,Interior Designer,Tristan Auer,,,,,Role+company,people-tristan-auer
Ugo Colombo,Developer,CMC Group,,,,,Role+company,people-ugo-colombo
Venny Torre,,,,,,,Name only,people-venny-torre
Vicky Charles,Interior Designer,Charles & Co,,,,,Role+company,people-vicky-charles
Victor Arce,,,,,,,Name only,people-victor-arce
Vlad Doronin,Developer,OKO Group,,,,,Role+company,people-vlad-doronin
W. Allen Morris,Developer,Allen Morris Company,,,,,Role+company,people-w-allen-morris
W.A. Spencer Morris,,,,,,,Name only,people-w-a-spencer-morris
Walter Taft Bradshaw,,,,,,,Name only,people-walter-taft-bradshaw
Willy A. Bermello,Architect,Bermello Ajamil & Partners,,,,,Role+company,people-willy-a-bermello
Yves Béhar,,,,,,,Name only,people-yves-b-har
Zaha Hadid,Architect,Zaha Hadid Architects,,,,,Role+company,people-zaha-hadid
Özlem Önal,,,,,,,Name only,people-zlem-nal
