building,neighborhood,units,floors,year_built,str_allowed,str_detail,architect,lead_developer,url_slug,developer_page_slug
The Ritz-Carlton Bal Harbour,Bal Harbour,124,18,2007,Unknown,,,,condos-bal-harbour-the-ritz-carlton-bal-harbour,developers
The Ritz-Carlton Miami Beach Villas,Miami Beach,15,2,2022,Unknown,,Lissoni Associati,Lionheart Capital,condos-miami-beach-the-ritz-carlton-miami-beach-villas,developers-lionheart-capital
The Ritz-Carlton Residences Coconut Grove - Executive Residences,Coconut Grove,87,22,2002,No,No,,,condos-coconut-grove-the-ritz-carlton-residences-coconut-grove-executive-residences,developers
The Ritz-Carlton Residences Coconut Grove - Tower Residences,Coconut Grove,126,22,2001,No,No,,,condos-coconut-grove-the-ritz-carlton-residences-coconut-grove-tower-residences,developers
The Ritz-Carlton Residences Miami Beach,Miami Beach,110,8,2019,Unknown,,Lissoni Associati,Lionheart Capital,condos-miami-beach-the-ritz-carlton-residences-miami-beach,developers-lionheart-capital
The Ritz-Carlton Residences Sunny Isles Beach,Sunny Isles Beach,209,52,2020,Unknown,,Arquitectonica,Fortune International Group,condos-sunny-isles-beach-the-ritz-carlton-residences-sunny-isles-beach,developers-fortune-international-group
The Sail,Brickell,151,30,2006,Unknown,,,,condos-brickell-the-sail,developers
The Setai Miami Beach,South Beach,159,41,2004,Yes,Yes,,,condos-south-beach-the-setai-miami-beach,developers
The Surf Club Four Seasons North,Surfside,68,12,2017,No,No,Meier Architects,Fort Partners,condos-surfside-the-surf-club-four-seasons-north,developers-fort-partners
The Surf Club Four Seasons South,Surfside,80,12,2017,Unknown,,Meier Architects,Fort Partners,condos-surfside-the-surf-club-four-seasons-south,developers-fort-partners
The Towers of Key Biscayne - Phase I,Key Biscayne,261,,1972,Unknown,,,,condos-key-biscayne-the-towers-of-key-biscayne-phase-i,developers
The Towers of Key Biscayne - Phase II,Key Biscayne,268,,1971,Unknown,,,,condos-key-biscayne-the-towers-of-key-biscayne-phase-ii,developers
The Waverly at South Beach,South Beach,395,36,2001,Unknown,,Arquitectonica,,condos-south-beach-the-waverly-at-south-beach,developers
The Waverly at Surfside,Surfside,64,12,2003,Unknown,,,,condos-surfside-the-waverly-at-surfside,developers
The Waves,Surfside,106,13,1991,Unknown,,,,condos-surfside-the-waves,developers
The Yorker,Edgewater,62,11,2005,Unknown,,,,condos-edgewater-the-yorker,developers
Three Grove Isle,Coconut Grove,162,19,1981,Unknown,,,Martin Z. Margulies,condos-coconut-grove-three-grove-isle,developers-martin-z-margulies
Three Hundred Collins,South of Fifth,19,5,2018,Unknown,,,,condos-south-of-fifth-three-hundred-collins,developers
Three Tequesta Point,Brickell Key,235,46,2001,No,No,,Swire Properties,condos-brickell-key-three-tequesta-point,developers-swire-properties
Tidemark at Key Colony,Key Biscayne,282,12,1978,Unknown,,,,condos-key-biscayne-tidemark-at-key-colony,developers
Tiffany of Bal Harbour,Bal Harbour,135,18,1982,Unknown,,,,condos-bal-harbour-tiffany-of-bal-harbour,developers
Trump Palace,Sunny Isles Beach,274,56,2006,Unknown,,,Dezer Development,condos-sunny-isles-beach-trump-palace,developers-dezer-development
Trump Royale,Sunny Isles Beach,382,57,2008,Unknown,,,Dezer Development,condos-sunny-isles-beach-trump-royale,developers-dezer-development
Trump Tower I,Sunny Isles Beach,271,43,2008,Unknown,,,Dezer Development,condos-sunny-isles-beach-trump-tower-i,developers-dezer-development
Trump Tower II,Sunny Isles Beach,271,43,2008,Unknown,,,Dezer Development,condos-sunny-isles-beach-trump-tower-ii,developers-dezer-development
Trump Tower III,Sunny Isles Beach,271,43,2010,Unknown,,,Dezer Development,condos-sunny-isles-beach-trump-tower-iii,developers-dezer-development
Turnberry Ocean Club,Sunny Isles Beach,154,54,2020,Unknown,,Carlos Zapata Studio,Turnberry Associates,condos-sunny-isles-beach-turnberry-ocean-club,developers-turnberry-associates
Turnberry Ocean Colony North,Sunny Isles Beach,130,37,2006,Unknown,,,,condos-sunny-isles-beach-turnberry-ocean-colony-north,developers
Turnberry Ocean Colony South,Sunny Isles Beach,128,37,2007,Unknown,,,,condos-sunny-isles-beach-turnberry-ocean-colony-south,developers
Two Grove Isle,Coconut Grove,168,19,1980,Unknown,,,Martin Z. Margulies,condos-coconut-grove-two-grove-isle,developers-martin-z-margulies
Two Park Grove,Coconut Grove,73,23,2018,No,No,Office for Metropolitan Architecture,Related Group,condos-coconut-grove-two-park-grove,developers-related-group
Two Tequesta Point,Brickell Key,267,39,1998,Unknown,,,Swire Properties,condos-brickell-key-two-tequesta-point,developers-swire-properties
Uptown Lofts,Edgewater,66,12,2005,Unknown,,,Cobalt Development Group,condos-edgewater-uptown-lofts,developers-cobalt-development-group
Uptown Marina Lofts,Aventura,216,11,2006,Unknown,,,Shefaor Development,condos-aventura-uptown-marina-lofts,developers-shefaor-development
Venture at Aventura East,Aventura,309,11,2005,Unknown,,,Related Group,condos-aventura-venture-at-aventura-east,developers-related-group
Venture at Aventura West,Aventura,191,7,2005,Unknown,,,Related Group,condos-aventura-venture-at-aventura-west,developers-related-group
Villa Del Mare,Fisher Island,,,,Unknown,,,Island Developers,condos-fisher-island-villa-del-mare,developers-island-developers
Villa Regina,Brickell,200,31,1982,Unknown,,William Dorsky Associates,,condos-brickell-villa-regina,developers
Vita at Grove Isle,Coconut Grove,65,7,2025,Unknown,,,CMC Group,condos-coconut-grove-vita-at-grove-isle,developers-cmc-group
Vizcayne North,Downtown Miami,408,51,2008,No,No,Fullerton Diaz Architects,GICSA,condos-downtown-miami-vizcayne-north,developers-gicsa
Vizcayne South,Downtown Miami,438,51,2008,No,No,Fullerton Diaz Architects,GICSA,condos-downtown-miami-vizcayne-south,developers-gicsa
Vue at Brickell,Brickell,323,36,2004,Unknown,,Bermello Ajamil & Partners,BAP Development,condos-brickell-vue-at-brickell,developers-bap-development
W South Beach,South Beach,407,20,2009,Unknown,,,,condos-south-beach-w-south-beach,developers
Wind,Miami River,489,41,2008,Unknown,,Revuelta Vega Leon,Neo Epoch,condos-miami-river-wind,developers-neo-epoch
Winston Tower 100,Sunny Isles Beach,408,23,1970,Unknown,,,,condos-sunny-isles-beach-winston-tower-100,developers
Winston Tower 200,Sunny Isles Beach,407,23,1971,Unknown,,,,condos-sunny-isles-beach-winston-tower-200,developers
Winston Tower 300,Sunny Isles Beach,417,24,1973,Unknown,,,,condos-sunny-isles-beach-winston-tower-300,developers
Winston Tower 400,Sunny Isles Beach,420,24,1974,Unknown,,,,condos-sunny-isles-beach-winston-tower-400,developers
Winston Tower 500,Sunny Isles Beach,420,24,1976,Unknown,,,,condos-sunny-isles-beach-winston-tower-500,developers
Winston Tower 600,Sunny Isles Beach,391,24,1981,Unknown,,,,condos-sunny-isles-beach-winston-tower-600,developers
Winston Tower 700,Sunny Isles Beach,391,24,1980,Unknown,,,,condos-sunny-isles-beach-winston-tower-700,developers
Wynwood Lofts,Wynwood,35,4,2005,Unknown,,,,condos-wynwood-wynwood-lofts,developers
Yacht Club at Portofino,South of Fifth,359,34,1999,Unknown,,,Related Group,condos-south-of-fifth-yacht-club-at-portofino,developers-related-group
Yacht Harbour,Coconut Grove,136,18,1975,Unknown,,,,condos-coconut-grove-yacht-harbour,developers
YotelPad Miami,Downtown Miami,231,31,2022,Yes,Yes,,Aria Development Group,condos-downtown-miami-yotelpad-miami,developers-aria-development-group
