building,neighborhood,units,floors,year_built,str_allowed,str_detail,architect,lead_developer,url_slug,developer_page_slug
Mirador 1200,South Beach,408,17,1965,Unknown,,,,condos-south-beach-mirador-1200,developers
Mirador East,South Beach,64,9,1979,Unknown,,,,condos-south-beach-mirador-east,developers
Mirage,Surfside,99,12,1995,Unknown,,,,condos-surfside-mirage,developers
Missoni Baia,Edgewater,246,57,2023,No,No,,,condos-edgewater-missoni-baia,developers
Monaco Yacht Club & Residences,Miami Beach,39,11,2022,Unknown,,Arquitectonica,Optimum Development USA,condos-miami-beach-monaco-yacht-club-residences,developers-optimum-development-usa
Monad Terrace,South Beach,59,13,2021,Unknown,,,,condos-south-beach-monad-terrace,developers
Mondrian South Beach,South Beach,334,17,2008,Unknown,,,,condos-south-beach-mondrian-south-beach,developers
Montclair Lofts,South Beach,40,5,2005,Unknown,,,Gregg Covin Real Estate Development,condos-south-beach-montclair-lofts,developers-gregg-covin-real-estate-development
Moon Bay,Edgewater,60,12,2007,Unknown,,,Gilcar LLC,condos-edgewater-moon-bay,developers-gilcar-llc
Mosaic,Miami Beach,85,21,2006,Unknown,,Fullerton Diaz Architects,,condos-miami-beach-mosaic,developers
Mr. C Residences Bayshore Tower,Coconut Grove,95,21,2024,No,No,Arquitectonica,Terra,condos-coconut-grove-mr-c-residences-bayshore-tower,developers-terra
Mr. C Residences Tigertail Tower,Coconut Grove,134,21,2024,No,No,Arquitectonica,Terra,condos-coconut-grove-mr-c-residences-tigertail-tower,developers-terra
Murano at Portofino,South of Fifth,189,39,2001,Unknown,,Sieger Suarez Architects,Related Group,condos-south-of-fifth-murano-at-portofino,developers-related-group
Murano Grande,South of Fifth,265,38,2003,Unknown,,Sieger Suarez Architects,Related Group,condos-south-of-fifth-murano-grande,developers-related-group
Muse,Sunny Isles Beach,62,49,2018,Unknown,,Carlos Ott Architects,Property Markets Group,condos-sunny-isles-beach-muse,developers-property-markets-group
Mutiny Park Hotel Arya,Coconut Grove,211,23,2001,Unknown,,,,condos-coconut-grove-mutiny-park-hotel-arya,developers
MyBrickell,Brickell,192,27,2014,No,No,,Related Group,condos-brickell-mybrickell,developers-related-group
Neo Lofts,Miami River,196,21,2003,Unknown,,,,condos-miami-river-neo-lofts,developers
Neo Vertika,Miami River,442,36,2006,No,No,Revuelta Vega Leon,,condos-miami-river-neo-vertika,developers
New Wave,Edgewater,76,20,2006,Unknown,,,,condos-edgewater-new-wave,developers
Nine at Mary Brickell Village,Brickell,390,35,2015,No,No,Behar Font & Partners,LYND,condos-brickell-nine-at-mary-brickell-village,developers-lynd
O Residences,Bay Harbor Islands,41,9,2017,Unknown,,Frankel Benayoun Architects,S2 Development,condos-bay-harbor-islands-o-residences,developers-s2-development
Ocean Four,Sunny Isles Beach,281,41,2006,Unknown,,,Related Group,condos-sunny-isles-beach-ocean-four,developers-related-group
Ocean House,South of Fifth,31,7,2009,Unknown,,Nichols Architects,iStar Residential,condos-south-of-fifth-ocean-house,developers-istar-residential
Ocean One,Sunny Isles Beach,241,30,1999,Unknown,,,Related Group,condos-sunny-isles-beach-ocean-one,developers-related-group
